stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
10135,BALES,Balestrino,,+41.920407,+08.728664,1,
20230,BALES1,Balestrino,,+41.920378,+08.728707,0,10135
10136,CNFPT,Oliveto CNFPT,,+41.921168,+08.730002,1,
20231,CNFPT1,Oliveto CNFPT,,+41.921216,+08.730076,0,10136
10137,VERDU,Verdun,,+41.922553,+08.730885,1,
20232,VERDU1,Verdun,,+41.922553,+08.730885,0,10137
10138,COLLI,Collines,,+41.923702,+08.730308,1,
20233,COLLI1,Collines,,+41.923752,+08.730365,0,10138
10139,EMMAI,Empereur Maillot,,+41.925296,+08.728908,1,
20234,EMMAI1,Empereur Maillot,,+41.925316,+08.728932,0,10139
10140,PEMPE,Parc Empereur,,+41.926668,+08.729013,1,
20235,PEMPE1,Parc Empereur,,+41.926668,+08.729013,0,10140
10141,EMPEU,Empereur,,+41.926715,+08.728576,1,
20236,EMPEU1,Empereur,,+41.926715,+08.728576,0,10141
20237,EMMAI2,Empereur Maillot,,+41.925277,+08.728884,0,10139
20238,COLLI2,Collines,,+41.923653,+08.730252,0,10138
20239,CNFPT2,Oliveto CNFPT,,+41.921121,+08.729929,0,10136
20240,BALES2,Balestrino,,+41.920436,+08.728621,0,10135
20241,BDANG2,Bois des Anglais,,+41.918227,+08.725939,0,10134
20242,CASON2,Casone,,+41.915509,+08.724137,0,10133
20243,FORCO2,Forcone,,+41.914284,+08.724833,0,10132
20244,PUGCO2,Puglisesi Conti,,+41.915035,+08.726931,0,10131
10142,SACOE,Sacré Coeur,,+41.916176,+08.729051,1,
20245,SACOE1,Sacré Coeur,,+41.916176,+08.729051,0,10142
20246,GDVAL2,Grandval,,+41.917636,+08.730883,0,10128
20248,MONCE3,Moncey,,+41.929136,+08.733098,0,10114
10144,PELLE,Pellegrino,,+41.930821,+08.735362,1,
20249,PELLE1,Pellegrino,,+41.930821,+08.735362,0,10144
10118,AEROP,Aeroport,,+41.920537,+08.794078,1,
20204,AEROP1,Aeroport,,+41.920537,+08.794078,0,10118
10032,CALDA,Caldaniccia,,+41.953468,+08.801046,1,
20051,CALDA2,Caldaniccia,,+41.953491,+08.801233,0,10032
10031,ZIBAL,Zone Industrielle Baléone,,+41.956857,+08.799642,1,
20052,ZIBAL2,Zone Industrielle Baléone,,+41.956853,+08.799766,0,10031
20048,ZIBAL1,Zone Industrielle Baléone,,+41.956862,+08.799518,0,10031
20049,CALDA1,Caldaniccia,,+41.953446,+08.800859,0,10032
10120,HMISE,Hôpital Miséricorde,,+41.923377,+08.733800,1,
20206,HMISE1,Hôpital Miséricorde,,+41.923377,+08.733800,0,10120
20207,CNHOS2,Centre Hospitalier,,+41.922702,+08.735366,0,10086
20213,CORAZ1,Corse Azur,,+41.929060,+08.757554,0,10123
10126,ATRI1,Atrium 1,,+41.952180,+08.791727,1,
20217,ATRI11,Atrium 1,,+41.952156,+08.791859,0,10126
20218,ATRI12,Atrium 1,,+41.952205,+08.791596,0,10126
10152,ATRI3,Atrium 3,,+41.954154,+08.795685,1,
20259,ATRI3,Atrium 3,,+41.954154,+08.795685,0,10152
10124,BALEO,Baléone,,+41.953710,+08.800990,1,
20220,BALEO2,Baléone,,+41.954025,+08.800347,0,10124
20266,BALEO3,Baléone,,+41.953313,+08.801698,0,10124
10125,ATRI2,Atrium2,,+41.952052,+08.797546,1,
20216,ATRI21,Atrium2,,+41.952052,+08.797546,0,10125
20215,BALEO1,Baléone,,+41.954135,+08.800261,0,10124
10161,GAROU,Gare Routiere,,+41.922097,+08.739630,1,
20271,GAROU,Gare Routiere,,+41.922097,+08.739630,0,10161
