object_id,object_system,object_code
stop_point:59600,source,stop_point:59600
stop_point:59515,source,stop_point:59515
stop_point:59512,source,stop_point:59512
stop_point:59431,source,stop_point:59431
stop_point:59521,source,stop_point:59521
stop_point:59519,source,stop_point:59519
stop_point:59518,source,stop_point:59518
stop_point:59267,source,stop_point:59267
stop_point:59517,source,stop_point:59517
stop_point:59513,source,stop_point:59513
stop_point:59774,source,stop_point:59774
stop_point:59220,source,stop_point:59220
stop_point:59555,source,stop_point:59555
stop_point:59409,source,stop_point:59409
stop_point:59644,source,stop_point:59644
stop_point:59554,source,stop_point:59554
stop_point:59410,source,stop_point:59410
stop_point:59411,source,stop_point:59411
stop_point:59553,source,stop_point:59553
stop_point:59552,source,stop_point:59552
stop_point:59448,source,stop_point:59448
stop_point:59435,source,stop_point:59435
stop_point:59329,source,stop_point:59329
stop_point:59584,source,stop_point:59584
stop_point:59670,source,stop_point:59670
stop_point:59434,source,stop_point:59434
stop_point:59587,source,stop_point:59587
stop_point:59438,source,stop_point:59438
stop_point:59588,source,stop_point:59588
stop_point:59586,source,stop_point:59586
stop_point:59440,source,stop_point:59440
stop_point:59444,source,stop_point:59444
stop_point:59437,source,stop_point:59437
stop_point:59211,source,stop_point:59211
stop_point:59442,source,stop_point:59442
stop_point:59221,source,stop_point:59221
stop_point:59443,source,stop_point:59443
stop_point:59430,source,stop_point:59430
stop_point:59441,source,stop_point:59441
stop_point:59439,source,stop_point:59439
stop_point:59219,source,stop_point:59219
stop_point:59436,source,stop_point:59436
stop_point:59446,source,stop_point:59446
stop_point:59447,source,stop_point:59447
stop_point:59589,source,stop_point:59589
stop_point:59240,source,stop_point:59240
stop_point:59427,source,stop_point:59427
stop_point:59425,source,stop_point:59425
stop_point:59419,source,stop_point:59419
stop_point:59654,source,stop_point:59654
stop_point:59655,source,stop_point:59655
stop_point:59429,source,stop_point:59429
stop_point:59407,source,stop_point:59407
stop_point:59423,source,stop_point:59423
stop_point:59656,source,stop_point:59656
stop_point:59308,source,stop_point:59308
stop_point:59218,source,stop_point:59218
stop_point:59657,source,stop_point:59657
stop_point:59426,source,stop_point:59426
stop_point:59420,source,stop_point:59420
stop_point:59428,source,stop_point:59428
stop_point:59421,source,stop_point:59421
stop_point:59418,source,stop_point:59418
stop_point:59415,source,stop_point:59415
stop_point:59422,source,stop_point:59422
stop_point:59424,source,stop_point:59424
stop_point:59416,source,stop_point:59416
stop_point:59241,source,stop_point:59241
stop_point:59417,source,stop_point:59417
stop_point:59213,source,stop_point:59213
stop_point:59477,source,stop_point:59477
stop_point:59478,source,stop_point:59478
stop_point:59476,source,stop_point:59476
stop_point:59560,source,stop_point:59560
stop_point:59474,source,stop_point:59474
stop_point:59393,source,stop_point:59393
stop_point:59470,source,stop_point:59470
