stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
StationEntrance:59466-IO1,,1|r. de Toul,,2.402388,48.837184,,,2,stop_area:59466,,,0,
StationEntrance:59466-IO2,,2|r. de Picpus,,2.402667,48.836865,,,2,stop_area:59466,,,0,
StationEntrance:59466-IO3,,3|r. de Fécamp,,2.401955,48.837125,,,2,stop_area:59466,,,0,
StationEntrance:59467-IO0,,0|NR,,2.389951,48.844335,,,2,stop_area:59467,,,0,
StationEntrance:59468-IO0,,4|r. de Charonne,,2.373898,48.851773,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO1,,1|av. Ledru-Rollin,,2.376346,48.851484,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO2,,2|r. du Fbg St-Antoine,,2.376387,48.851151,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO3,,3|r. Traversière,,2.37582,48.85115,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO4,,0|NR,,2.376457,48.851139,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO5,,0|NR,,2.373711,48.851817,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO6,,3|r. Traversière,,2.375716,48.851054,,,2,stop_area:59468,,,0,
StationEntrance:59468-IO7,,0|NR,,2.376371,48.851543,,,2,stop_area:59468,,,0,
StationEntrance:8739303-IO0,,0|NR,,2.314483,48.860912,,,2,stop_area:8739303,,,0,
StationEntrance:8739303-IO1,,0|NR,,2.314866,48.862042,,,2,stop_area:8739303,,,0,
StationEntrance:8739303-IO2,,0|NR,,2.314756,48.86252,,,2,stop_area:8739303,,,0,
StationEntrance:59470-IO0,,2|av. Duquesne (Hôtel des Invalides),,2.306257,48.854634,,,2,stop_area:59470,,,0,
StationEntrance:59470-IO1,,1|av. Bosquet,,2.305958,48.854704,,,2,stop_area:59470,,,0,
StationEntrance:59470-IO2,,3|av. de La Motte-Picquet,,2.306592,48.85514,,,2,stop_area:59470,,,0,
StationEntrance:59471-IO0,,1|r. Faidherbe,,2.384075,48.850333,,,2,stop_area:59471,,,0,
StationEntrance:59471-IO1,,3|r. du Fbg St-Antoine (Hôpital St-Antoine),,2.382649,48.850386,,,2,stop_area:59471,,,0,
StationEntrance:59471-IO2,,2|r. Chaligny,,2.384193,48.849989,,,2,stop_area:59471,,,0,
StationEntrance:59472-IO0,,2|r. Amelot (Cirque d'Hiver),,2.366717,48.863403,,,2,stop_area:59472,,,0,
StationEntrance:59472-IO1,,1|bd des Filles du Calvaire (Musée Picasso),,2.36646,48.863253,,,2,stop_area:59472,,,0,
StationEntrance:59473-IO0,,2|bd Beaumarchais,,2.368257,48.857397,,,2,stop_area:59473,,,0,
StationEntrance:59473-IO1,,1|bd Beaumarchais,,2.367891,48.857474,,,2,stop_area:59473,,,0,
StationEntrance:59474-IO0,,1|r. du Commerce,,2.293803,48.844841,,,2,stop_area:59474,,,0,
StationEntrance:59474-IO1,,2|r. des Entrepreneurs,,2.293606,48.844605,,,2,stop_area:59474,,,0,
StationEntrance:59475-IO0,,3|r. d'Hauteville,,2.350344,48.870281,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO1,,1|r. du Sentier,,2.347449,48.870656,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO2,,1|r. du Sentier,,2.347223,48.870691,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO3,,4|r. de Mazagran,,2.350662,48.870215,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO4,,2|r. du Fbg Poissonnière,,2.347105,48.870925,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO5,,5|r. de la Lune,,2.350557,48.870028,,,2,stop_area:59475,,,0,
StationEntrance:59475-IO6,,6|bd de Bonne Nouvelle,,2.350248,48.870087,,,2,stop_area:59475,,,0,
StationEntrance:59476-IO0,,1|r. Sarasate,,2.287763,48.841233,,,2,stop_area:59476,,,0,
StationEntrance:59476-IO1,,3|r. de la Convention,,2.287547,48.841179,,,2,stop_area:59476,,,0,
StationEntrance:59476-IO2,,2|r. Henri Bocquillon,,2.288221,48.841019,,,2,stop_area:59476,,,0,
StationEntrance:59476-IO3,,4|av. Félix Faure,,2.287753,48.840974,,,2,stop_area:59476,,,0,
StationEntrance:59476-IO4,,5|r. Duranton,,2.28749,48.841015,,,2,stop_area:59476,,,0,
StationEntrance:59477-IO0,,5|av. de la Pte de Sèvres,,2.277755,48.835488,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO1,,6|r. Louis Armand,,2.277353,48.834711,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO2,,2|bd du Général Martial Valin,,2.277964,48.835972,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO3,,1|bd Victor (Aquaboulevard),,2.278355,48.83587,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO4,,4|av. Félix Faure,,2.278978,48.836895,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO5,,3|r. Balard,,2.278447,48.837027,,,2,stop_area:59477,,,0,
StationEntrance:59477-IO6,,0|NR,,2.277561,48.835102,,,2,stop_area:59477,,,0,
StationEntrance:59478-IO0,,1|r. de Lourmel,,2.282553,48.839091,,,2,stop_area:59478,,,0,
StationEntrance:59478-IO1,,2|r. Vasco de Gama,,2.281433,48.83852,,,2,stop_area:59478,,,0,
StationEntrance:59482-IO0,,6|av. Anatole France,,2.412469,48.822443,,,2,stop_area:59482,,,0,
StationEntrance:59482-IO1,,4|r. de Paris,,2.412802,48.821972,,,2,stop_area:59482,,,0,
StationEntrance:59482-IO2,,2|r. Gabrielle,,2.414558,48.821095,,,2,stop_area:59482,,,0,
StationEntrance:59482-IO3,,1|r. de la République,,2.414424,48.821497,,,2,stop_area:59482,,,0,
StationEntrance:59482-IO4,,3|r. de Conflans,,2.413603,48.82145,,,2,stop_area:59482,,,0,
StationEntrance:59482-IO5,,5|r. des Bordeaux,,2.412297,48.822289,,,2,stop_area:59482,,,0,
StationEntrance:59483-IO0,,3|r. du Buisson Joyeux,,2.447093,48.802782,,,2,stop_area:59483,,,0,
StationEntrance:59483-IO1,,4|av. du Maréchal de Lattre de Tassigny,,2.446689,48.802622,,,2,stop_area:59483,,,0,
StationEntrance:59483-IO2,,1|r. Louis Pergaud,,2.444066,48.803814,,,2,stop_area:59483,,,0,
StationEntrance:59483-IO3,,2|av. du Général Leclerc,,2.444454,48.804088,,,2,stop_area:59483,,,0,
StationEntrance:59484-IO0,,0|av. du Général Leclerc,,2.434228,48.809182,,,2,stop_area:59484,,,0,
StationEntrance:59484-IO1,,0|av. du Général Leclerc,,2.434524,48.808975,,,2,stop_area:59484,,,0,
StationEntrance:59484-IO2,,0|av. du Général Leclerc,,2.434821,48.809146,,,2,stop_area:59484,,,0,
StationEntrance:59485-IO0,,0|NR,,2.278906,48.86403,,,2,stop_area:59485,,,0,
StationEntrance:59485-IO1,,0|NR,,2.278118,48.864118,,,2,stop_area:59485,,,0,
StationEntrance:59485-IO2,,0|NR,,2.277956,48.864135,,,2,stop_area:59485,,,0,
StationEntrance:59486-IO0,,3|bd Voltaire,,2.389748,48.851902,,,2,stop_area:59486,,,0,
StationEntrance:59486-IO1,,2|r. des Boulets,,2.389214,48.852241,,,2,stop_area:59486,,,0,
StationEntrance:59486-IO2,,1|Cité Voltaire,,2.389485,48.852387,,,2,stop_area:59486,,,0,
StationEntrance:59488-IO0,,1|Saint-Ambroise,,2.374717,48.861215,,,2,stop_area:59488,,,0,
StationEntrance:59488-IO1,,4|bd Richard-Lenoir,,2.373128,48.861817,,,2,stop_area:59488,,,0,
StationEntrance:59488-IO2,,3|r. Popincourt,,2.375182,48.860592,,,2,stop_area:59488,,,0,
StationEntrance:59488-IO3,,2|bd Voltaire,,2.374561,48.860962,,,2,stop_area:59488,,,0,
StationEntrance:59488-IO4,,5|r. Saint-Sébastien,,2.373341,48.861961,,,2,stop_area:59488,,,0,
