trip_id,route_id,physical_mode_id,dataset_id,service_id,trip_headsign,trip_short_name,block_id,company_id,trip_property_id,geometry_id,journey_pattern_id
113426056-1_216540,100110005:5,Metro,default_dataset,1000,Place d'Italie,,,439,,,
113555568-1_23082,800:D,Train,default_dataset,1000,ROPO,,,741,1,,
113198258-1_201335,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113757559-1_204383,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
113242076-1_212979,100110006:6_R,Metro,default_dataset,1000,Nation,,,439,,,
113557752-1_19141,810:B,Train,default_dataset,1000,ILOT,,,741,1,,
113167280-1_207914,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113498083-1_175543,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113560237-1_22530,810:A,Train,default_dataset,1000,TROC,,,741,1,,
113483042-1_194622,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113501833-1_199639,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113572634-1_12122,800:E,Train,default_dataset,1000,HOCI,,,741,1,,
113503206-1_200968,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113493999-1_182766,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113392153-1_177331,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113483134-1_194714,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113501764-1_199570,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113752629-1_197345,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113560985-1_22116,810:A,Train,default_dataset,1000,QPID,,,741,1,,
113498188-1_175648,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113504360-1_207502,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113241537-1_212113,100110006:6,Metro,default_dataset,1000,Charles de Gaulle-Etoile,,,439,,,
113484229-1_196108,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113259563-1_210294,100110107:7B,Metro,default_dataset,1000,Louis Blanc,,,439,,,
113759361-1_206120,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113494066-1_182808,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113707865-1_213578,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113559374-1_24160,800:D,Train,default_dataset,1000,ZACO,,,741,1,,
113564634-1_24946,800:D,Train,default_dataset,1000,BOVO,,,741,1,,
113759643-1_206239,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113554305-1_29737,800:C,Train,default_dataset,1000,NORA,,,741,1,,
113483098-1_194678,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113555610-1_18730,810:B,Train,default_dataset,1000,INKE,,,741,1,,
113555399-1_19436,810:B,Train,default_dataset,1000,EMAL,,,741,1,,
113757583-1_204407,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
113759738-1_206334,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113400564-1_195012,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113481274-1_177976,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113502041-1_199847,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113564813-1_25298,800:D,Train,default_dataset,1000,JOVA,,,741,1,,
113243986-1_209331,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113167030-1_208843,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113697889-1_196383,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113242894-1_208407,100110007:7,Metro,default_dataset,1000,Villejuif-Louis Aragon,,,439,,,
113252207-1_202092,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113498203-1_175663,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113400716-1_195073,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113555353-1_29849,800:C,Train,default_dataset,1000,ROMI,,,741,1,,
113753865-1_198679,100110003:3_R,Metro,default_dataset,1000,Gallieni (Parc de Bagnolet),,,439,,,
113758180-1_204633,100110013:13,Metro,default_dataset,1000,Saint-Denis-Université,,,439,,,
113754352-1_198796,100110003:3_R,Metro,default_dataset,1000,Gallieni (Parc de Bagnolet),,,439,,,
113503238-1_201000,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113572481-1_12005,800:E,Train,default_dataset,1000,HOCI,,,741,1,,
113495743-1_173237,100110010:10,Metro,default_dataset,1000,Gare d'Austerlitz,,,439,,,
113503099-1_200861,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113502128-1_199934,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113757482-1_204306,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
113561493-1_18543,810:B,Train,default_dataset,1000,LEVI,,,741,1,,
113474603-1_207203,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113557106-1_27604,800:C,Train,default_dataset,1000,KYVI,,,741,1,,
113434189-1_191729,100110008:8,Metro,default_dataset,1000,Pointe du Lac,,,439,,,
113757508-1_204332,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
