object_id,object_type,comment_id
stop_point:8775882:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775883:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775884:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775885:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775886:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775887:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775888:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775889:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8700147:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8727103:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8775873:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775876:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775877:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8775878:810:B,stop_point,stop:stop_point:8775837:810:A
stop_point:8727152:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8727151:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8727143:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8727142:810:B,stop_point,stop:stop_point:8727124:800:C
stop_point:8711340:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711370:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711374:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711377:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711379:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711611:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711352:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711351:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711321:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8765479:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8728187:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8728189:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711604:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711603:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711602:800:E,stop_point,stop:stop_point:8727124:800:C
stop_point:8711621:800:E,stop_point,stop:stop_point:8727124:800:C
